matab,mantap
tdk,tidak
muantap,mantap
gk,tidak
bs,bisa
slalu,selalu
nyesel,nyesal
chenel,channel
isok,bisa
cuman,cuma
klo,kalau
gk,tidak
y,ya
bru,baru
mai,mau
nggak,tidak
lgi,lagi
da,ada
bangat,banget
mntap,mantap
kenap,kenapa
bgus,bagus
sdh,sudah
knpa,kenapa
mantab,mantap
gabisa,gakbisa
sma,sama
skr,sekarang
sj,saja
gw,saya
imail,email
channel,channel
apliaksi,aplikasi
erorrr,error
eror,error
massa,masa
knapa,kenapa
engga,tidak
gak,tidak
ad,ada
kgk,tidak
ush,usah
lain2,lain-lain
kalo,kalau
serah,terserah
inet,internet
ttp,tetap
trs,terus
byr,bayar
mhl,mahal
dg,dengan
dtg,datang
dr,dari
udh,sudah
lg,lagi
lbh,lebih
g,tidak
nggak,tidak
dipake,dipakai
ga,tidak
mw,mau
bgt,banget
tifak,tidak
tp,tetapi
bgs,bagus
n,dan
hny,hanya
bgttt,banget
bgtt,banget
baguss,bagus
kerenn,keren
tuker,tukar
liat,lihat
udah,sudah
yg,yang
crass,crash
pake,pakai
nomer,nomor
nmr,nomor
beneran,benaran
nongol,muncul
mncl,muncul
lemot,lambat
lemod,lambat
sanah,sana
ngelek,lag
tiap,setiap
stp,setiap
parahh,parah
telp,telepon
telpon,telepon
tlp,telepon
ni,ini
prshn,perusahaan
prusahaan,perusahaan
ket,keterangan
tpi,tapi
kdg,kadang
silakan,silahkan
skrng,sekarang
lamban,lambat
duit,uang
mending,lebih baik
disuruh,diminta
tetep,tetap
kasi,kasih
gak,tidak
dgn,dengan
sya,saya
sy,saya
doank,hanya
doang,hanya
ancur,hancur
ny,nya
vek,cek
sbg,sebagai
mantaaaapp,mantap
wowww,wow
app,aplikasi
abis,habis
abiss,habis
abru,abrupt
acc,accept
adaaa,ada
adan,adanya
ahirnya,akhirnya
aj,saja
aja,saja
ajasaat,saja
aktifikasi,aktivasi
alhasil,sehingga
amukan,kacau
ancur,hancur
ane,saya
anggeraja,tetap
anofher,another
apaa,apa
apalah,apa
apke,apk
apkikasi,aplikasi
apkny,apk
aplikasiny,aplikasi
aplikasinya,aplikasi
app,aplikasi
appa,aplikasi
applikasi,aplikasi
appnya,aplikasi
apss,aplikasi
asap,secepatnya
awfull,awful
bagusan,lebih bagus
bangeet,banget
bangett,banget
bapuk,jelek
bbrp,beberapa
beberpa,beberapa
begimana,bagaimana
belom,belum
beneran,benaran
benerin,perbaiki
berhsl,berhasil
berturut,turut
betebaran,bertebaran
bikin,buat
bingiiiiiiitttt,banget
blm,belum
bln,bulan
bngt,banget
bnyk,banyak
br,baru
bsa,bisa
bth,butuh
byar,bayar
byk,banyak
cacat,jelek
cb,coba
cm,cuma
cma,cuma
cnt,contoh
conncect,connect
couldn,could not
cs,customer service
csnya,customer service
cust,customer
dah,sudah
dahh,sudah
dalem,dalam
datangin,datang
dateng,datang
dbuat,dibuat
dengerin,dengar
des,description
detil,detail
dev,develop
dgn,dengan
diataa,diatas
diatasin,diatasi
dibandingin,dibandingkan
dibenerin,dibenarkan
didn,did not
diemin,diamkan
dihilangin,dihilangkan
dikit,sedikit
diliat,dilihat
dimasukin,dimasukkan
dimauskan,dimasukkan
dirumah,di rumah
disuru,diminta
disuruh,diminta
ditambahin,ditambahkan
ditelp,ditelepon
ditmpt,di tempat
ditunggu,di tunggu
ditutup,di tutup
dl,dulu
dlete,delete
dlu,dulu
dm,direct message
doank,doang
doesn,does not
doesnt,does not
don,do not
donk,dong
dont,do not
doong,dong
dpn,depan
dri,dari
dsertai,disertai
dtgnya,datang nya
eeasier,easier
enggak,tidak
enteng,ringan
erornya,error
erorr,error
errors,error
frezee,freeze
funsgi,fungdi
gaak,tidak
gajelas,tidak jelas
gakbisa,tidak bisa
gamoang,gampang
ganghuan,gangguan
gausah,tidak perlu
gercep,cepat
gimana,bagaimana
gimmic,palsu
gmn,bagaimana
gt,begitu
gud,good
haduhh,aduh
hayang,ingin
helpul,helpful
hrs,harus
hrsnya,harus nya
hrus,harus
hrusnya,harus nya
hubungin,hubungi
indiehome,indihome
indihom,indihome
indiiihomret,indihome
indohome,indihome
intenet,internet
internetan,internet
isnt,is not
its,it is
